seq,HOTA(0),LocA(0),HOTALocA(0),HOTA___5,HOTA___10,HOTA___15,HOTA___20,HOTA___25,HOTA___30,HOTA___35,HOTA___40,HOTA___45,HOTA___50,HOTA___55,HOTA___60,HOTA___65,HOTA___70,HOTA___75,HOTA___80,HOTA___85,HOTA___90,HOTA___95,HOTA___AUC,DetA___5,DetA___10,DetA___15,DetA___20,DetA___25,DetA___30,DetA___35,DetA___40,DetA___45,DetA___50,DetA___55,DetA___60,DetA___65,DetA___70,DetA___75,DetA___80,DetA___85,DetA___90,DetA___95,DetA___AUC,AssA___5,AssA___10,AssA___15,AssA___20,AssA___25,AssA___30,AssA___35,AssA___40,AssA___45,AssA___50,AssA___55,AssA___60,AssA___65,AssA___70,AssA___75,AssA___80,AssA___85,AssA___90,AssA___95,AssA___AUC,DetRe___5,DetRe___10,DetRe___15,DetRe___20,DetRe___25,DetRe___30,DetRe___35,DetRe___40,DetRe___45,DetRe___50,DetRe___55,DetRe___60,DetRe___65,DetRe___70,DetRe___75,DetRe___80,DetRe___85,DetRe___90,DetRe___95,DetRe___AUC,DetPr___5,DetPr___10,DetPr___15,DetPr___20,DetPr___25,DetPr___30,DetPr___35,DetPr___40,DetPr___45,DetPr___50,DetPr___55,DetPr___60,DetPr___65,DetPr___70,DetPr___75,DetPr___80,DetPr___85,DetPr___90,DetPr___95,DetPr___AUC,AssRe___5,AssRe___10,AssRe___15,AssRe___20,AssRe___25,AssRe___30,AssRe___35,AssRe___40,AssRe___45,AssRe___50,AssRe___55,AssRe___60,AssRe___65,AssRe___70,AssRe___75,AssRe___80,AssRe___85,AssRe___90,AssRe___95,AssRe___AUC,AssPr___5,AssPr___10,AssPr___15,AssPr___20,AssPr___25,AssPr___30,AssPr___35,AssPr___40,AssPr___45,AssPr___50,AssPr___55,AssPr___60,AssPr___65,AssPr___70,AssPr___75,AssPr___80,AssPr___85,AssPr___90,AssPr___95,AssPr___AUC,LocA___5,LocA___10,LocA___15,LocA___20,LocA___25,LocA___30,LocA___35,LocA___40,LocA___45,LocA___50,LocA___55,LocA___60,LocA___65,LocA___70,LocA___75,LocA___80,LocA___85,LocA___90,LocA___95,LocA___AUC,RHOTA___5,RHOTA___10,RHOTA___15,RHOTA___20,RHOTA___25,RHOTA___30,RHOTA___35,RHOTA___40,RHOTA___45,RHOTA___50,RHOTA___55,RHOTA___60,RHOTA___65,RHOTA___70,RHOTA___75,RHOTA___80,RHOTA___85,RHOTA___90,RHOTA___95,RHOTA___AUC,HOTA_TP___5,HOTA_TP___10,HOTA_TP___15,HOTA_TP___20,HOTA_TP___25,HOTA_TP___30,HOTA_TP___35,HOTA_TP___40,HOTA_TP___45,HOTA_TP___50,HOTA_TP___55,HOTA_TP___60,HOTA_TP___65,HOTA_TP___70,HOTA_TP___75,HOTA_TP___80,HOTA_TP___85,HOTA_TP___90,HOTA_TP___95,HOTA_TP___AUC,HOTA_FN___5,HOTA_FN___10,HOTA_FN___15,HOTA_FN___20,HOTA_FN___25,HOTA_FN___30,HOTA_FN___35,HOTA_FN___40,HOTA_FN___45,HOTA_FN___50,HOTA_FN___55,HOTA_FN___60,HOTA_FN___65,HOTA_FN___70,HOTA_FN___75,HOTA_FN___80,HOTA_FN___85,HOTA_FN___90,HOTA_FN___95,HOTA_FN___AUC,HOTA_FP___5,HOTA_FP___10,HOTA_FP___15,HOTA_FP___20,HOTA_FP___25,HOTA_FP___30,HOTA_FP___35,HOTA_FP___40,HOTA_FP___45,HOTA_FP___50,HOTA_FP___55,HOTA_FP___60,HOTA_FP___65,HOTA_FP___70,HOTA_FP___75,HOTA_FP___80,HOTA_FP___85,HOTA_FP___90,HOTA_FP___95,HOTA_FP___AUC,MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,sMOTA,CLR_F1,FP_per_frame,MOTAL,MOTP_sum,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,CLR_Frames,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
MOT17-02-FRCNN,0.3869175339591147,0.806901372845334,0.3122042893295408,0.3869175339591147,0.3867552353585511,0.3862891382583819,0.38522440963842236,0.38409964293777826,0.3826252606881799,0.3812461381353266,0.3797390173127172,0.37805353141303144,0.3760014273202637,0.37412780187114697,0.36882790546101624,0.36246165702855215,0.348512740548301,0.31464120381251226,0.2560269617202088,0.1720162268013831,0.07600583808172134,0.012853274526192818,0.32170657604593694,0.42140434869339716,0.42069584288705014,0.41970512054194065,0.4175867900129315,0.41589667163437655,0.4125284963821984,0.41001286237261303,0.4076451995258791,0.40500838016365964,0.4015538945712038,0.39825353218210363,0.38736370716510904,0.3730609885345409,0.34786720892840256,0.3018178496391706,0.235457303857824,0.15020177562550444,0.060105631183515584,0.007778799236263348,0.33652338963882544,0.3552530450840798,0.35555286463196145,0.35553366169020084,0.35537006756529727,0.35473362920929474,0.35488964132324907,0.354497702833064,0.3537432096277478,0.35289263040954777,0.3520749649255524,0.3514635799110337,0.3511790633209153,0.3521634715330727,0.3491594700709094,0.32800938465018664,0.27839359431067867,0.19699888473196267,0.09611224953060964,0.021238067859562924,0.30890837806415405,0.4276315789473684,0.4271255060728745,0.426417004048583,0.42489878542510123,0.4236842105263158,0.4212550607287449,0.4194331983805668,0.41771255060728746,0.41578947368421054,0.41325910931174087,0.41082995951417006,0.4027327935222672,0.39190283400809717,0.3722672064777328,0.334412955465587,0.2748987854251012,0.18836032388663967,0.08178137651821862,0.011133603238866396,0.3518698060941828,0.9665980324868451,0.9654541294898192,0.9638526652939831,0.9604209563029055,0.9576755891100435,0.9521848547243194,0.9480668039350263,0.9441775337451385,0.9398307023564402,0.9341111873713109,0.9286204529855868,0.9103180050331732,0.8858384808968199,0.8414550446122169,0.7558911004346831,0.621368107984443,0.4257606954930222,0.18485472431937772,0.025165865934568748,0.7953497332899854,0.39809349091975194,0.3984373444733791,0.3985661888873011,0.3976834358920105,0.39666924726896724,0.39683181507219323,0.3968365067242178,0.39645169703497746,0.3956320654404548,0.3951276447050097,0.3946916645921563,0.39447347316987463,0.39603007384538036,0.3946667962144543,0.37769259093087315,0.3355794691040448,0.26025066968442345,0.14219820395760913,0.03381029003526241,0.35261698252380747,0.7948578151844036,0.7952685605071542,0.7957343256768634,0.7965379553847746,0.7960538372605431,0.7958903933614553,0.7953664032184127,0.7934737407236759,0.793032893943174,0.7907498953595655,0.7898052500983521,0.7844552503817626,0.7784188272376223,0.7636793622217464,0.7245840428868947,0.627854935592738,0.4704111089727441,0.24999017558758843,0.061383137795953446,0.6946077848102855,0.806901372845334,0.8077753432703093,0.8088972776175422,0.8111477920775738,0.812818817732464,0.8159001719074653,0.8180471698818639,0.8198475268726604,0.8216555568538007,0.823771952111782,0.8255500994167955,0.8305369608963284,0.8362123406895609,0.8445258151035677,0.8577519480599967,0.8751971383602006,0.8976377698880239,0.9257925684869541,0.9621987893144369,0.8422192848098242,0.3897658535520598,0.38969949607561305,0.38936563646058686,0.3885824366655433,0.3876790394626396,0.3866510796669625,0.38560096643789127,0.3843995035813846,0.38305226936414627,0.38144224519066605,0.37998916866873356,0.376073563545439,0.3715021702869864,0.36052825206707867,0.33119569402593,0.27664067117134805,0.19263118577587401,0.08865772423695392,0.01537713305881477,0.3294123204891922,4225.0,4220.0,4213.0,4198.0,4186.0,4162.0,4144.0,4127.0,4108.0,4083.0,4059.0,3979.0,3872.0,3678.0,3304.0,2716.0,1861.0,808.0,110.0,3476.4736842105262,5655.0,5660.0,5667.0,5682.0,5694.0,5718.0,5736.0,5753.0,5772.0,5797.0,5821.0,5901.0,6008.0,6202.0,6576.0,7164.0,8019.0,9072.0,9770.0,6403.526315789473,146.0,151.0,158.0,173.0,185.0,209.0,227.0,244.0,263.0,288.0,312.0,392.0,499.0,693.0,1067.0,1655.0,2510.0,3563.0,4261.0,894.5263157894736,0.3804655870445344,0.8228297268947746,0.38552631578947366,0.4139676113360324,0.9357126515671471,0.1509433962264151,0.4528301886792453,0.39622641509433965,0.3071228322874118,0.5739948073819381,0.4683333333333333,0.38535435526271905,3365.373582999628,4090,5790,281,50,8,24,21,77.0,600,0.4022173882534559,0.29008097165991903,0.6556851978952185,2866,7014,1505,4371,9880,63,53
MOT17-04-FRCNN,0.7459598827211166,0.860172968201217,0.6416545264792546,0.7459598827211166,0.7459445343880935,0.7459445343880935,0.7459445343880935,0.7458998083657429,0.7457746332141119,0.7454928499980625,0.7444166387213149,0.7429739082526271,0.7410907559515237,0.7377453575864552,0.7328364688978822,0.7210554468002697,0.6991987114405029,0.6653309864111363,0.5839750948914912,0.445768777161585,0.2494518066993187,0.044658024238161946,0.6489190923429254,0.705814717477004,0.7057446721143186,0.7057446721143186,0.7057446721143186,0.7056746325039008,0.7054645481791683,0.7049045762364047,0.7028777568254488,0.7006468517153852,0.6984912295048452,0.694541894427674,0.6883433588034465,0.6735154298606075,0.6467789890981169,0.6060313164508022,0.5166672751834678,0.3658183731176432,0.18172507965407372,0.02798881437303571,0.6022378347238936,0.7883884153314382,0.7884342175995017,0.7884342175995017,0.7884342175995017,0.7884179173990309,0.7883880274085565,0.7884181889774653,0.7884103980014815,0.7878580014920543,0.7862883388616566,0.7836362601119435,0.7802055228371411,0.7719510709174706,0.755866913304904,0.7304330807049166,0.6600513092926741,0.5431925165449026,0.3424194612213469,0.0712548628275443,0.7010780493701595,0.7108942013400612,0.7108528414260898,0.7108528414260898,0.7108528414260898,0.7108114815121185,0.7106874017702043,0.7103565224584333,0.7091570849532634,0.7078335677061792,0.7065514103730665,0.7041938952766978,0.7004715030192737,0.6914550417735131,0.6747869964430474,0.6483166515013649,0.5852841426089834,0.4601704028455621,0.26420713044916866,0.04677806270162958,0.6249744221584652,0.9899781131206082,0.9899205160695772,0.9899205160695772,0.9899205160695772,0.9898629190185463,0.9896901278654533,0.9892293514572054,0.9875590369773067,0.9857159313443151,0.9839304227623545,0.9806473908535883,0.9754636562607994,0.9629074991360442,0.9396958875705564,0.9028337749107246,0.8150558691395,0.6408247897707637,0.3679299619859463,0.06514226471604653,0.8703278181630786,0.8238374425745125,0.8238852105642563,0.8238852105642563,0.8238852105642563,0.8238578823217023,0.823810803190923,0.8238019328647662,0.8235881318057647,0.8231822431353519,0.8222172648114222,0.8199851030708197,0.8172289017418581,0.8115947067572133,0.8005165753758834,0.7815580393226098,0.7307204202812566,0.640752288351336,0.4673532744033366,0.12785388992072697,0.7491323437695923,0.9259076318271261,0.9259613866034296,0.9259613866034296,0.9259613866034296,0.9259482167288823,0.9259010257922948,0.9259163360067426,0.9257106095958582,0.9252284118401316,0.9242544316186659,0.9224073888756514,0.9198396978568054,0.9115205364370264,0.8994985541858362,0.8804443005587456,0.823830076206958,0.7117233912807442,0.5083048148692634,0.13555667892903767,0.8405198032852662,0.860172968201217,0.8602194163293876,0.8602194163293876,0.8602194163293876,0.8602553069045092,0.8603545355758752,0.8606020540361735,0.8614171953773443,0.8622379862548757,0.8629437728467189,0.8640666804266651,0.8655943076358239,0.868644750489461,0.8733354672213338,0.8792809510084578,0.8900910541543655,0.9074386555210365,0.9302767019762679,0.9619242107955914,0.8762786761796779,0.7486392675132659,0.7486392347841261,0.7486392347841261,0.7486392347841261,0.7486097166862745,0.7485301856209431,0.7483702312124715,0.747734457941837,0.7467746246639484,0.7453543685942943,0.7428538688654002,0.7392643202844775,0.7305952778305838,0.7141772638075883,0.6881510946212596,0.6215444993218906,0.4999611176493253,0.3007817535344231,0.05773356425116054,0.661841753513238,17188.0,17187.0,17187.0,17187.0,17186.0,17183.0,17175.0,17146.0,17114.0,17083.0,17026.0,16936.0,16718.0,16315.0,15675.0,14151.0,11126.0,6388.0,1131.0,15110.631578947368,6990.0,6991.0,6991.0,6991.0,6992.0,6995.0,7003.0,7032.0,7064.0,7095.0,7152.0,7242.0,7460.0,7863.0,8503.0,10027.0,13052.0,17790.0,23047.0,9067.368421052632,174.0,175.0,175.0,175.0,176.0,179.0,187.0,216.0,248.0,279.0,336.0,426.0,644.0,1047.0,1687.0,3211.0,6236.0,10974.0,16231.0,2251.3684210526317,0.6965836711059641,0.8612511012935127,0.701050541814873,0.7095706840929771,0.9881350074876166,0.5217391304347826,0.2753623188405797,0.2028985507246377,0.5981315201336548,0.8259990370727011,0.1961904761904762,0.7009664395832788,14775.623893791504,17156,7022,206,108,36,19,14,42.0,1050,0.7574867597496389,0.6507155265117048,0.9061744038705218,15733,8445,1629,17362,24178,114,69
MOT17-05-FRCNN,0.6602106269171528,0.8213531597700385,0.5422660845321615,0.6602106269171528,0.6585617016582485,0.658076962769867,0.6567030232990707,0.6543736909445873,0.6527318564654183,0.6498721504622181,0.6496707039943883,0.6476467346932543,0.6447262501301686,0.6432855748274703,0.6372524408282879,0.6288988367803363,0.5940159038024097,0.526518520479823,0.42261186078906343,0.2908633662980966,0.13087013671428266,0.019343928479651423,0.5487491721228314,0.6838571044856299,0.6762032085561497,0.6739652870493992,0.6708422174840085,0.6655154091392136,0.661983032873807,0.6567124735729387,0.655837295298468,0.6519104084321475,0.6467034410296821,0.6428197064989518,0.633402813965607,0.6203153269578703,0.5814833501513622,0.5106024096385542,0.4043458781362007,0.26213005838534326,0.107988688582538,0.014893961469969241,0.5485006353530443,0.6373817995532708,0.6413804451136296,0.6425631961318965,0.6428618378067719,0.6434185016907243,0.6436099647375864,0.6431030762193689,0.6435620948279274,0.6434109465556901,0.642755104171203,0.6437517807830051,0.6411254645352125,0.6376011194876086,0.6068185681986324,0.5429307562502531,0.4417029937410033,0.32274626715984106,0.1585998766021176,0.025123441455139083,0.5497077492116255,0.7584152517128389,0.7533512064343163,0.751861781352398,0.7497765862377123,0.7462019660411081,0.7438188859100388,0.7402442657134346,0.7396484956806673,0.7369675305332142,0.73339291033661,0.7307119451891569,0.7241584748287161,0.7149240393208222,0.6866249627643729,0.6312183497170092,0.537682454572535,0.387846291331546,0.18200774501042596,0.027405421507298182,0.6355925560102221,0.8743131868131868,0.8684752747252747,0.8667582417582418,0.8643543956043956,0.8602335164835165,0.8574862637362637,0.8533653846153846,0.8526785714285714,0.8495879120879121,0.845467032967033,0.8423763736263736,0.8348214285714286,0.8241758241758241,0.7915521978021978,0.7276785714285714,0.6198489010989011,0.44711538461538464,0.20982142857142858,0.03159340659340659,0.7327212261422789,0.7641438578116867,0.7676212051110416,0.7688175119947875,0.7679561304516775,0.7683709199134434,0.7690648417906392,0.7687485154082361,0.7691193693607733,0.7695138384741687,0.7692740526568087,0.7703884089412549,0.7695287524052471,0.7657409672884676,0.7447675471926004,0.6998071528150063,0.6188999754163012,0.4957153015558913,0.2842730397130365,0.05478006121278815,0.6782384973428346,0.7834902649890385,0.7880275326445998,0.7894429802388464,0.790183239820935,0.790959450810681,0.7913553654609543,0.791746589108831,0.7923037652943148,0.790951337248209,0.7896375058841055,0.7900142603647046,0.7866061827992106,0.7831652324754689,0.75960384273154,0.7040029999734785,0.6093445314891944,0.47932698083415737,0.2675498354252539,0.05304506446946886,0.6910924716875259,0.8213531597700385,0.8263789081428462,0.8277796334465428,0.829615196807957,0.8325144796116772,0.8343335795911851,0.8367826515600182,0.8371460636762984,0.8386372444658189,0.8404195686569963,0.8415580402255173,0.8439924573641353,0.8467842820797284,0.8537712822538597,0.8646926140873721,0.8798986850574567,0.9001194205780374,0.92776521114474,0.9614329256062092,0.8549987054803385,0.6952697878848009,0.695114905688068,0.6950674134752816,0.6942641818308527,0.6929070290802674,0.6919026282156405,0.6899662052840397,0.6899345877085562,0.6886021902384458,0.6865799563647554,0.685855025464517,0.681378337321984,0.6751565506010878,0.6454895636601076,0.585412551941699,0.48733556187364346,0.3538021237345032,0.1699011650910118,0.026239636102507506,0.5910620737664091,2546.0,2529.0,2524.0,2517.0,2505.0,2497.0,2485.0,2483.0,2474.0,2462.0,2453.0,2431.0,2400.0,2305.0,2119.0,1805.0,1302.0,611.0,92.0,2133.684210526316,811.0,828.0,833.0,840.0,852.0,860.0,872.0,874.0,883.0,895.0,904.0,926.0,957.0,1052.0,1238.0,1552.0,2055.0,2746.0,3265.0,1223.3157894736842,366.0,383.0,388.0,395.0,407.0,415.0,427.0,429.0,438.0,450.0,459.0,481.0,512.0,607.0,793.0,1107.0,1610.0,2301.0,2820.0,778.3157894736842,0.6035150431933274,0.840080876987978,0.6112600536193029,0.7393506106642835,0.8523351648351648,0.4084507042253521,0.4225352112676056,0.16901408450704225,0.4852787419374922,0.7918328282022651,0.5137395459976105,0.6108385542603602,2085.0807366841614,2482,875,430,26,29,30,12,37.0,837,0.687828999840485,0.6422400953232053,0.7403846153846154,2156,1201,756,2912,3357,55,71
MOT17-09-FRCNN,0.5761691818429201,0.8515897436260533,0.49065976585084525,0.5761691818429201,0.5760648131390633,0.5759623570478574,0.5756544174701804,0.5755540090411266,0.5754554761786691,0.5753556935519121,0.5747962106343439,0.5746617408534944,0.5744002955884185,0.5710668768309397,0.5675383722689491,0.5570784777031129,0.5418082772673553,0.5080174176061093,0.42530947287189563,0.31431030192605974,0.16848306096448715,0.03608675753262886,0.4970406952799749,0.6786807208432506,0.6781101291638342,0.6775399252463473,0.6758316361167686,0.675262979300984,0.6746947082767978,0.6741268226517464,0.6718591263122249,0.6712931618144888,0.6701623815967523,0.6634097035040432,0.6556002682763246,0.6401993355481728,0.6186885245901639,0.5778203899009268,0.46759809750297265,0.31653333333333333,0.15837634913186296,0.02918490723368772,0.5723669737023518,0.48914152989799253,0.4893757734398441,0.48961341520281426,0.4903262745392967,0.49056801198583133,0.4908131055448605,0.49105622707674673,0.4917558917046885,0.49194023592933483,0.49232202318779245,0.49157764212813654,0.49130517417959413,0.48474969136650387,0.47448141940224114,0.4466469184921474,0.386845345779919,0.31210288299342087,0.17923472783381733,0.04462080550030231,0.432551426115015,0.6932962834317471,0.6929489406043765,0.6926015977770059,0.691559569294894,0.6912122264675234,0.6908648836401529,0.6905175408127823,0.6891281695032998,0.6887808266759291,0.6880861410211879,0.6839180270927405,0.6790552275095519,0.6693296283431747,0.6554359152483501,0.6279958318860716,0.5463702674539771,0.4122959360889198,0.234456408475165,0.048627995831886074,0.6034990219557229,0.9698736637512148,0.9693877551020408,0.9689018464528668,0.967444120505345,0.966958211856171,0.9664723032069971,0.9659863945578231,0.9640427599611273,0.9635568513119533,0.9625850340136054,0.956754130223518,0.9499514091350826,0.9363459669582118,0.9169096209912536,0.8785228377065112,0.7643343051506317,0.576773566569485,0.32798833819241985,0.06802721088435375,0.8442534908700321,0.6296507790849106,0.6299521302099893,0.6302578608654346,0.6311743321298455,0.631485376959081,0.6318008220753749,0.6321113038235033,0.6319656594269499,0.6322035673869448,0.6326948066594594,0.6315738987720565,0.632282799997198,0.6277213081309934,0.6203618916752932,0.5993195007125909,0.543554055613362,0.4649189244987555,0.2967679761368293,0.08570791389936068,0.5692371004241018,0.7089187081243573,0.7092301961986051,0.7095545343110417,0.7105295034737403,0.7108677092543805,0.7112188242414363,0.7115689200150005,0.7125872326809561,0.7127385626016222,0.7130795404538197,0.7135903308976447,0.7144557046992759,0.7082946452879346,0.6986017244861935,0.6736032587971504,0.6024118475049195,0.5027437072434452,0.3240386184609251,0.08813377107566904,0.638745649463585,0.8515897436260533,0.8519834520147911,0.8523393824602675,0.8533838408005213,0.8537014593787233,0.8539897586852454,0.8542469465007944,0.8551857997501355,0.8554050610426077,0.85579536561383,0.8577626735267805,0.8598238233140719,0.8632053942168846,0.8671675795619107,0.8732812070177984,0.8874106488350313,0.9074000926063116,0.9311808704348069,0.9618041126202607,0.8708766953687802,0.5823401108891582,0.5823336017804462,0.5823289737446745,0.5823141997533342,0.5823114354007426,0.5823105177234155,0.5823082846069068,0.5821364423336809,0.5820987909097208,0.582030893574415,0.5798265354113904,0.5776013736385539,0.5696115612957752,0.5576667135433531,0.5296153350667128,0.4597399210826711,0.35871820458379733,0.20499446471049043,0.04658133042200598,0.5108878258142758,1996.0,1995.0,1994.0,1991.0,1990.0,1989.0,1988.0,1984.0,1983.0,1981.0,1969.0,1955.0,1927.0,1887.0,1808.0,1573.0,1187.0,675.0,140.0,1737.4736842105262,883.0,884.0,885.0,888.0,889.0,890.0,891.0,895.0,896.0,898.0,910.0,924.0,952.0,992.0,1071.0,1306.0,1692.0,2204.0,2739.0,1141.5263157894738,62.0,63.0,64.0,67.0,68.0,69.0,70.0,74.0,75.0,77.0,89.0,103.0,131.0,171.0,250.0,485.0,871.0,1383.0,1918.0,320.5263157894737,0.656477943730462,0.8526861580631991,0.6606460576589094,0.6877387981938173,0.9620991253644315,0.5909090909090909,0.3181818181818182,0.09090909090909091,0.5551644991195326,0.8021065424346769,0.14857142857142858,0.6602712117936618,1688.3185929651343,1980,899,78,12,13,7,2,19.0,525,0.6060360542839781,0.5196248697464397,0.7269193391642371,1496,1383,562,2058,2879,23,22
MOT17-10-FRCNN,0.6833408778824986,0.7721090405054497,0.5276136695600077,0.6833408778824986,0.6831569056003182,0.6830851879781863,0.6825550786440131,0.6823148124487444,0.6812509006180641,0.6793402528136608,0.6749531802738638,0.6686535882628198,0.6570948568243624,0.6380258530973488,0.6119804521835785,0.5704862488916761,0.5034821591720232,0.40837977711421586,0.3052683925695021,0.18904813816243518,0.0799474005394211,0.013213139042676451,0.5313461685326005,0.7208507995652849,0.7200496585971446,0.7197827773467804,0.7187160800124051,0.7181832274066037,0.7160551168911596,0.711550339715874,0.7052307692307692,0.6955790117791035,0.6799030009093665,0.652355396541443,0.615037155762786,0.5552125719096394,0.47334839824538083,0.3628427394565351,0.25540831351228904,0.14421389491070508,0.05281155015197568,0.006812607866291216,0.5381022847269229,0.6477828084075442,0.6481544044874196,0.6482585978997253,0.6482134577741655,0.6482377832299184,0.6481383606444742,0.6485882352009127,0.6459754954519457,0.6427704308575807,0.6350518386998357,0.6240110703134789,0.6089389402666693,0.5861800986514099,0.5355342609041907,0.4596317473670559,0.3648620133795443,0.24782077042446096,0.12102630645412936,0.025627050138164784,0.5281475616080329,0.7838932973155496,0.7833867972311329,0.7832179638696607,0.7825426304237717,0.7822049637008273,0.7808542968090495,0.7779841296640216,0.7739321289886881,0.7676852946142158,0.75738645956441,0.738814789802465,0.7126456187742698,0.6680736113456018,0.6012156002026,0.49822724970454163,0.3807192301198717,0.235860205976701,0.09387134897855816,0.012662502110417018,0.616588322062966,0.8996318542918039,0.8990505715946522,0.8988568106956016,0.8980817670993994,0.8976942453012982,0.8961441581088936,0.8928502228250339,0.8881999612478202,0.8810308079829491,0.8692113931408642,0.8478976942453013,0.8178647548924627,0.7667118775431118,0.6899825615190854,0.5717884130982368,0.43693082735903893,0.2706839759736485,0.10773105987211781,0.01453206742879287,0.7076250012747426,0.6790918890277199,0.6794838572649453,0.6794614710877371,0.6793402372427174,0.679327365806987,0.6794083821868078,0.6798139823099935,0.6781881212024099,0.6765111245348986,0.671671717481031,0.6638901434942378,0.6531679651638937,0.6368378540597884,0.6023798351806697,0.5432503858825081,0.4648894299182857,0.35000397177295695,0.19681226991381898,0.04824756187141565,0.5758830297580433,0.8859589642017435,0.885642773876874,0.885794719025205,0.8857874062645543,0.8855910593646037,0.884377835543953,0.8834307557122375,0.8809825204066715,0.8774966345212556,0.8712226309236536,0.8585382179344352,0.8406459790312091,0.8109095290223807,0.763134805076579,0.6873426960759644,0.5844880203374394,0.4379588701899188,0.23960448995079603,0.05315569379151453,0.7422138737500521,0.7721090405054497,0.7725630159982292,0.7727064243873801,0.7732245810533647,0.7734552494597506,0.7743147015130377,0.7759456921295934,0.7780229063928639,0.7808902834126015,0.7850223835507166,0.7915217850458467,0.7993713907702835,0.810958917848132,0.8259117182225816,0.8465972709370259,0.8683897576211611,0.8955596359341246,0.9276588858370807,0.9619320968289079,0.815060828286744,0.7125956789280418,0.7125697180224907,0.7125501940972466,0.7122181297346227,0.7120778129536568,0.7114081977571042,0.7103459394359243,0.7070651953459787,0.7024566944532654,0.6935269740628243,0.6789908745690653,0.6587546340498021,0.6257886667278088,0.5674253713913123,0.4785405535245482,0.3727062983554832,0.24176653605827686,0.10658753514713389,0.01801395504763666,0.5702836294559065,4643.0,4640.0,4639.0,4635.0,4633.0,4625.0,4608.0,4584.0,4547.0,4486.0,4376.0,4221.0,3957.0,3561.0,2951.0,2255.0,1397.0,556.0,75.0,3652.0526315789475,1280.0,1283.0,1284.0,1288.0,1290.0,1298.0,1315.0,1339.0,1376.0,1437.0,1547.0,1702.0,1966.0,2362.0,2972.0,3668.0,4526.0,5367.0,5848.0,2270.9473684210525,518.0,521.0,522.0,526.0,528.0,536.0,553.0,577.0,614.0,675.0,785.0,940.0,1204.0,1600.0,2210.0,2906.0,3764.0,4605.0,5086.0,1508.9473684210527,0.6481512746918792,0.7847291578990432,0.6538916089819349,0.7626202937700489,0.8752179810114319,0.4444444444444444,0.5,0.05555555555555555,0.48398136184872165,0.8150487188740527,0.9847094801223242,0.6536330442483467,3544.621606229978,4517,1406,644,34,16,18,2,63.0,654,0.6862143630458318,0.6420732736788789,0.7368726990893237,3803,2120,1358,5161,5923,49,36
